Contrato,Sector,Concurso,Anio_Proyecto,Titulo_Proyecto,Fecha_Inicio,Fecha_Fin,Empresa,Distrito,Provincia,Region,Ubigeo,Monto_Estado,Aporte_Empresa,Aporte_No_Financiero,Moneda,Fecha_Corte,ANIO_CORTE_ARCHIVO,Fecha_Corte_Std,Anio_Corte_Num,Monto_Total_Proyecto
249-FINCYT-FIDECOM-PIPEI-2014,FIDECOM,PIPEI,2014,DESARROLLO DE UN ADITIVO NATURAL EN BASE A PLANTAS PERUANAS CON EFECTO POSITIVO SOBRE LA SALUD E INTEGRIDAD INTESTINAL DE POLLOS DE ENGORDE PARA SU APLICACION EN LA INDUSTRIA AVICOLA,20140926.0,20170914.0,ILENDER PERU S.A,SAN ISIDRO,LIMA,LIMA,150131.0,264436.28,63950.13,30180.0,SOLES,20260105,05012026,2026-01-05,20260105,358566.41000000003
249-INNOVATEPERU-RIVR-2021,FINCYT III,CONCURSO NACIONAL PARA LA DIFUSIÓN DE CASOS DE LA INNOVACION - RECONOCIENDO LA INNOVACIÓN - INNOVAR PARA REACTIVAR,2021,"REACTIVANDO AL PERU BAJO LA MIRADA DE LA CTI, SOLUCIONES INNOVADORAS PARA UNA PANDEMIA DEVASTADORA COVID 19 2020",20210419.0,20220119.0,LOS TERAPEUTAS DEL RITMO S.R.L.,SAN BORJA,LIMA,LIMA,150130.0,158576.26,20562.72,56000.0,SOLES,20260105,05012026,2026-01-05,20260105,235138.98
249-PNICP-ITAI-2015,FINCYT II,INNOVACIONES TECNOLOGICAS DE ALTO IMPACTO,2015,DESARROLLO DE UN EQUIPO PROTOTIPO Y RESPECTIVO METODO DE DETECCION Y LOCALIZACION TEMPRANA DE FUGAS EN GEOMEMBRANAS,20150818.0,20180518.0,LABORATORIO DIESEL SENATINOS S A,SAN LUIS,LIMA,LIMA,150134.0,699359.99,94853.91,83745.0,SOLES,20260105,05012026,2026-01-05,20260105,877958.9
249-PROINNOVATE-BCCF2-2021,FINCYT III,CONCURSO BOOTCAMPS DE CÓDIGO - FASE II,2021,BOOTCAMP CODING DOJO - DESARROLLO DE SOFTWARE FULL STACK,20220103.0,20230203.0,LISDEY MARLITH ECHEVARRIA SANTOS,,,,,7950.0,0.0,0.0,DOLARES,20260105,05012026,2026-01-05,20260105,7950.0
249-PROINNOVATE-EDI-2022,MIPYME EMPRENDEDOR,EMPRENDIMIENTOS DINAMICOS,2022,"DOG HOUSER, ALOJAMIENTO DE MASCOTAS EN CASAS DE FAMILIAS",20220907.0,20230907.0,CORPORACION DOG HOUSER S.A.,MIRAFLORES,LIMA,LIMA,150122.0,150000.0,4285.71,60000.0,SOLES,20260105,05012026,2026-01-05,20260105,214285.71
249-PROINNOVATE-IMTEMC-2024,BID 4,PROGRAMA DE INNOVACIÓN MODERNIZACIÓN TECNOLÓGICA Y EMPRENDIMIENTO - MIPYMES DE CALIDAD,2024,IMPLEMENTACION DE UN SISTEMA DE GESTION DE CALIDAD ISO 9001 PARA LA ESTANDARIZACION Y MEJORA CONTINUA DE LA EMPRESA SKYLIGHT GENERADORES EIRL DE LA REGION AREQUIPA,20240320.0,20250420.0,SKYLIGHT GENERADORES E.I.R.L.,MIRAFLORES,AREQUIPA,AREQUIPA,40110.0,45000.0,10290.0,6855.0,SOLES,20260105,05012026,2026-01-05,20260105,62145.0
249-PROINNOVATE-IMTEMC-2025,BID 4,PROGRAMA DE INNOVACIÓN MODERNIZACIÓN TECNOLÓGICA Y EMPRENDIMIENTO - MIPYMES DE CALIDAD,2025,DISENO E IMPLEMENTACION Y CERTIFICACION DE UN SISTEMA DE GESTION DE CALIDAD BAJO LOS ESTANDARES DE LA NORMA INTERNACIONAL ISO 9001:2015 EN LA EMPRESA GLOBAL MECANICA HIDRAULICA PERU S.A.C.,20250725.0,20260625.0,GLOBAL MECANICA HIDRAULICA PERU S.A.C.,PAUCARPATA,AREQUIPA,AREQUIPA,40112.0,45000.0,10285.71,6857.14,SOLES,20260707,20260707,2026-07-07,20260707,62142.85
249-PROINNOVATE-IMTEMD-2023,BID 4,PROGRAMA DE INNOVACIÓN MODERNIZACIÓN TECNOLÓGICA Y EMPRENDIMIENTO - MIPYMES DIGITALES,2023,IMPLEMENTACION DE POSICIONAMIENTO ORGANICO EN BUSCADORES (SEO) Y DESARROLLO DE MEJORAS E-COMMERCE PARA EL INGRESO AL MERCADO NORTE AMERICANO DE LA VENTA DE PAQUETES TURISTICOS DE LA AGENCIA MACHUPICCHUPERUTOURS.COM,20230524.0,20240424.0,MACHUPICCHU PERU TOURS TRAVEL AGENCY E.I.R.L.,WANCHAQ,CUSCO,CUSCO,80108.0,45000.0,10285.72,6857.14,SOLES,20260105,05012026,2026-01-05,20260105,62142.86
250-FIDECOM-INNOVATEPERU-CMCEI-2017,FIDECOM,MEJORA DE LA CALIDAD - INDIVIDUAL,2017,"IMPLEMENTACION Y CERTIFICACION DE LA FINCA ""SUMAQ RURU"" EN LA NORMA RAS PARA LA AGRICULTURA SOSTENIBLE 2017",20170613.0,20180813.0,AGUILAR SIERRA JUAN,VILLA RICA,OXAPAMPA,PASCO,190307.0,28590.59,12989.41,18125.0,SOLES,20260105,05012026,2026-01-05,20260105,59705.0
250-FINCYT-FIDECOM-PIPEI-2013,FIDECOM,PIPEI,2013,DESARROLLO DE UN TRANSFORMADOR COMBINADO DE MEDIDA ENCAPSULADO EN RESINA,20140421.0,20160420.0,COMPANIA ELECTRO ANDINA S.A.C.,LOS OLIVOS,LIMA,LIMA,150117.0,24526.78,6832.22,18000.0,SOLES,20260105,05012026,2026-01-05,20260105,49359.0
250-FINCYT-FIDECOM-PIPEI-2014,FIDECOM,PIPEI,2014,DESARROLLO DE PROTOTIPOS DE EQUIPO Y MOBILIARIO HOSPITALARIO CON SUPERFICIES DE CONTACTO AL 99.9 % DE COBRE PARA DISMINUIR LA CARGA BACTERIANA HOSPITALARIA.,20140926.0,20170130.0,INDUMELAB S.R.L.,RIMAC,LIMA,LIMA,150128.0,100000.38,11430.31,18002.0,SOLES,20260105,05012026,2026-01-05,20260105,129432.69
250-INNOVATEPERU-ADTC2-2020,FINCYT III,CONCURSO AYUDA A LA DEMANDA DE SERVICIOS TECNOLÓGICOS - MIPYME PRODUCTIVA - CATEGORÍA 2,2020,"IMPLEMENTACION Y CERTIFICACION DE UN SISTEMA DE GESTION AMBIENTAL ISO 14001:2015 EN LA EMPRESA TALLERES JEREMIAS E.I.R.L.,CON LA FINALIDAD DE REDUCIR SU IMPACTO AMBIENTAL, Y GESTIONAR LOS ASPECTOS E IMPACTOS AMBIENTALES RELEVANTES",20201221.0,20220320.0,TALLERES JEREMIAS E.I.R.L.,CERRO COLORADO,AREQUIPA,AREQUIPA,40104.0,55000.0,0.0,16666.67,SOLES,20260105,05012026,2026-01-05,20260105,71666.67
250-INNOVATEPERU-ADTC2-2021,FINCYT III,CONCURSO AYUDA A LA DEMANDA DE SERVICIOS TECNOLÓGICOS - MIPYME PRODUCTIVA - CATEGORÍA 2,2021,IMPLEMENTACION Y CERTIFICACION DE UN SISTEMA DE GESTION EN LA NORMA ISO 9001:2015 PARA LA EMPRESA MGS GENERAL SERVICES E.I.R.L.,20210330.0,20220330.0,MGS GENERAL SERVICES E.I.R.L.,AREQUIPA,AREQUIPA,AREQUIPA,40101.0,55000.0,0.0,16666.67,SOLES,20260105,05012026,2026-01-05,20260105,71666.67
250-INNOVATEPERU-EI-2016,FINCYT II,EMPRENDEDORES INNOVADORES,2016,QAIRA,20160824.0,20180523.0,SAITO VILLANUEVA CARLOS,SANTIAGO DE SURCO,LIMA,LIMA,150140.0,55000.0,15800.0,7800.0,SOLES,20260105,05012026,2026-01-05,20260105,78600.0
250-INNOVATEPERU-EIN-2019,FOMITEC - PCSD,CAPITAL SEMILLA PARA EMPRENDEDORES INNOVADORES,2019,DESARROLLO DE UNA PLATAFORMA PARA LA AUTOMATIZACION DE LA IMPLEMENTACION Y ACTUALIZACION DE SISTEMAS DE GESTION DE CALIDAD ISO,20191111.0,20201111.0,CABEZAS FERNANDEZ ANA MARIA,MIRAFLORES,LIMA,LIMA,150122.0,50000.0,8000.0,13500.0,SOLES,20260105,05012026,2026-01-05,20260105,71500.0
250-PNICP-ITAI-2015,FINCYT II,INNOVACIONES TECNOLOGICAS DE ALTO IMPACTO,2015,"DESARROLLO DE FERTILIZANTES PELETIZADOS Y/O GRANULADOS ORGANOS- MINERALES NUTRICIONALMENTE OPTIMOS PARA CULTIVOS ORGANICOS EMERGENTES (CACAO, CAFE, BANANO Y MACA)",20151116.0,20190215.0,SAN FERNANDO S.A.,SURQUILLO,LIMA,LIMA,150141.0,713524.97,141845.63,38960.0,SOLES,20260105,05012026,2026-01-05,20260105,894330.6
250-PROINNOVATE-BCCF2-2021,FINCYT III,CONCURSO BOOTCAMPS DE CÓDIGO - FASE II,2021,BOOTCAMP CODING DOJO - DESARROLLO DE SOFTWARE FULL STACK,20220103.0,20221103.0,ROLIN ESPINOZA FELIPE,,,,,7950.0,0.0,0.0,DOLARES,20230706,20230706,2023-07-06,20230706,7950.0
250-PROINNOVATE-EIN-2022,MIPYME EMPRENDEDOR,EMPRENDEDORES INNOVADORES,2022,BRIGHTEAMS,20220902.0,20230602.0,VERA RODRIGUEZ ROCIO JENNY,SANTIAGO DE SURCO,LIMA,LIMA,150140.0,55000.0,2499.2,21071.8,SOLES,20260105,05012026,2026-01-05,20260105,78571.0
